table,fieldName,description,dataType,units,downloadPkg
dsc_individualFieldData,waterDepth,"Depth of water",real,meter,basic
dsc_individualFieldData,edgeFactor,"Roughness factor used only for right angled cross sections",string,NA,basic
dsc_individualFieldData,surfaceVelocity,"Velocity of water at the surface",real,metersPerSecond,basic
dsc_individualFieldData,oneFifthDepthVelocity,"Velocity of water at 20 percent water depth from the bed",real,metersPerSecond,basic
dsc_individualFieldData,twoFifthDepthVelocity,"Velocity of water at 40 percent of the water depth from the bed",real,metersPerSecond,basic
dsc_individualFieldData,threeFifthDepthVelocity,"Velocity of water at 60 percent of the water depth from the bed",real,metersPerSecond,basic
dsc_individualFieldData,fourFifthDepthVelocity,"Velocity of water at 80 percent of the water depth from the bed",real,metersPerSecond,basic
dsc_individualFieldData,bedVelocity,"Velocity of water at the bed",real,metersPerSecond,basic
dsc_individualFieldData,averageVelocity,"Mean velocity from all measured points",real,metersPerSecond,basic
dsc_individualFieldData,sectionArea,"Depth times width of the transect section",real,squareMeter,basic
dsc_individualFieldData,sectionFlow,"Calculated flow of water for a section",real,litersPerSecond,basic
dsc_individualFieldData,lowVelocityQF,"Data quality flag for reported velocity below the instrument detection limit",signed integer,NA,basic
dsc_individualFieldData,dataQF,"Data quality flag",string,NA,basic
dsc_fieldDataADCP,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
dsc_fieldDataADCP,stationID,"Identifier for station where sample was collected",string,NA,basic
dsc_fieldDataADCP,domainID,"Unique identifier of the NEON domain",string,NA,basic
dsc_fieldDataADCP,aCollectedBy,"Primary NEON technician username who collected the data",string,NA,basic
dsc_fieldDataADCP,bCollectedBy,"Secondary NEON technician username who collected the data",string,NA,basic
dsc_fieldDataADCP,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
dsc_fieldDataADCP,startDate,"The start date-time or interval during which an event occurred",dateTime,NA,basic
dsc_fieldDataADCP,endDate,"The end date-time or interval during which an event occurred",dateTime,NA,basic
dsc_fieldDataADCP,waterTemperature,"The measured water temperature",real,celsius,basic
dsc_fieldDataADCP,streamStage,"Reading of water height on staff gauge",real,meter,basic
dsc_fieldDataADCP,streamStageUnits,"Stage measurement units",string,NA,basic
dsc_fieldDataADCP,totalDischarge,"Calculated discharge from the velocity meter device",real,NA,basic
dsc_fieldDataADCP,totalDischargeUnits,"Discharge measurement units; should be in lps - liters per second or m^3/s - cubic meters per second",string,NA,basic
dsc_fieldDataADCP,totalDischargeRU,"The relative uncertainty of the total measured discharge as expressed by the standard deviation of the mean discharge within all transects used for the discharge measurement",real,cubicMetersPerSecond,basic
dsc_fieldDataADCP,riverVelocityMaximum,"The maximum velocity measured in all transects included in the discharge measurement",real,metersPerSecond,basic
dsc_fieldDataADCP,riverWidthMean,"The mean river width measured in all transects included in the discharge measurement",real,meter,basic
dsc_fieldDataADCP,maxDepth,"Maximum depth",real,meter,basic
dsc_fieldDataADCP,riverDepthMean,"The mean river depth measured in all transects included in the discharge measurement",real,meter,basic
dsc_fieldDataADCP,riverDischargeMeasDuration,"The total duration of all transects included in the discharge measurement",real,second,basic
dsc_fieldDataADCP,windSpeedPrior,"The measured wind speed prior to the discharge measurement",real,kilometersPerHour,basic
dsc_fieldDataADCP,windDirRelativeToFlow,"The observed wind direction prior to the discharge measurement, relative to the direction of streamflow",string,NA,basic
dsc_fieldDataADCP,velocityUnits,"Velocity units",string,NA,basic
dsc_fieldDataADCP,widthUnits,"Width units",string,NA,basic
dsc_fieldDataADCP,magneticVariation,"The angle between magnetic north and true north depending on geographic location",real,degree,basic
dsc_fieldDataADCP,adcpCompassError,"The Acoustic Doppler Current Profiler compass error calculated prior to discharge measurement",real,degree,basic
dsc_fieldDataADCP,adcpCompassCalibrated,"Whether or not the Acoustic Doppler Current Profiler compass was calibrated prior to the discharge measurement",string,NA,basic
dsc_fieldDataADCP,stationaryMBT,"Whether or not a stationary moving bed test was performed prior to the discharge measurement",string,NA,basic
dsc_fieldDataADCP,loopMBT,"Whether or not a loop moving bed test was performed prior to the discharge measurement",string,NA,basic
dsc_fieldDataADCP,samplingProtocol,"The NEON document number where detailed information regarding the sampling method used is available; format NEON.DOC.######",string,NA,basic
dsc_fieldDataADCP,dataQF,"Data quality flag",string,NA,basic
dsc_fieldDataADCP,rawDataFileName,"Name of file or folder containing raw data, including file extension",string,NA,basic
